s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
153	Grapes Red Organic	2	PRODUCE	2011	6	16219.98	2443	2454
130	AVOCADO Hass Big O.	2	PRODUCE	2016	2	16216.91	5378	5793
99	Wedge Cookie	8	DELI	2012	8	16130.78	5449	6666
99	Wedge Cookie	8	DELI	2011	10	16102.27	5301	6385
99	WEDGE COOKIE	8	DELI	2010	9	16101.77	5307	6441
99	Wedge Cookie	8	DELI	2012	10	16068.97	5292	6256
99	WEDGE COOKIE	8	DELI	2011	4	16041.82	5363	6913
351	Asparagus Organic	2	PRODUCE	2010	4	16025.23	2165	2160
133	AVOCADO Hass Organic	2	PRODUCE	2016	7	15979.7	5852	6838
99	Wedge Cookie	8	DELI	2012	6	15973.77	5239	6726
311	Cherries Bing/Red Organic	2	PRODUCE	2014	6	15945.72	1506	1505
351	Asparagus Green/Purple Organic	2	PRODUCE	2013	5	15847.37	2042	2044
99	Wedge Cookie	8	DELI	2015	11	15802.24	4583	5323
99	WEDGE COOKIE	8	DELI	2010	8	15786.3	5210	6302
151	Banana Organic	2	PRODUCE	2016	12	15749.93	7713	7930
826	TOMATOES Living Waters Hydro	2	PRODUCE	2013	6	15737.5	4737	4805
133	AVOCADO Hass Organic	2	PRODUCE	2015	3	15717.06	6445	7390
311	Cherry Bing/Red Organic	2	PRODUCE	2011	7	15699.01	1300	1233
133	AVOCADO Hass Organic	2	PRODUCE	2016	8	15683.32	5893	6700
99	Wedge Cookie	8	DELI	2012	9	15671.02	5112	6007
11	BROCCOLI Organic	2	PRODUCE	2012	12	15647.24	4176	4218
735	Yam/Sweet Potato Organic	2	PRODUCE	2016	11	15632.95	3060	3260
99	Wedge Cookie	8	DELI	2013	4	15627.63	5276	6299
99	Wedge Cookie	8	DELI	2016	1	15583.55	4446	4964
99	Wedge Cookie	8	DELI	2011	8	15575.43	5235	6339
319	Peach Yellow Organic	2	PRODUCE	2014	8	15541.77	2858	2845
99	WEDGE COOKIE	8	DELI	2010	7	15502.62	5141	6339
99	Wedge Cookie	8	DELI	2014	11	15500.08	4476	5255
153	Grapes Red Organic	2	PRODUCE	2013	6	15473.23	2201	2206
133	AVOCADO Hass Organic	2	PRODUCE	2013	7	15457.16	6176	7702
320	Peach Colorado Organic	2	PRODUCE	2014	9	15452.59	2293	2287
99	Wedge Cookie	8	DELI	2011	9	15433.09	5126	6313
826	TOMATOES Living Waters Hydro	2	PRODUCE	2014	5	15409.96	4296	4353
99	Wedge Cookie	8	DELI	2013	11	15405.01	4900	5948
99	Wedge Cookie	8	DELI	2015	2	15378.48	4648	5400
133	AVOCADO Hass Organic	2	PRODUCE	2013	4	15328.38	6164	7122
99	Wedge Cookie	8	DELI	2012	7	15323.34	5045	6360
99	Wedge Cookie	8	DELI	2016	5	15320.59	4556	5459
826	TOMATOES Living Waters Hydro	2	PRODUCE	2013	5	15312.34	4766	4824
133	AVOCADO Hass Organic	2	PRODUCE	2011	9	15310.63	4941	5711
11	BROCCOLI Organic	2	PRODUCE	2014	5	15280.22	4047	4055
153	Grapes Red Organic	2	PRODUCE	2012	8	15274.01	2316	2316
826	TOMATOES Living Waters Hydro	2	PRODUCE	2015	5	15235.33	4058	4129
133	AVOCADO Hass Organic	2	PRODUCE	2012	3	15226.81	8314	9669
347	BROCCOLI Organic	2	PRODUCE	2014	11	15211.78	3894	3905
11	BROCCOLI Organic	2	PRODUCE	2014	4	15201.18	4420	4428
20398600000	Deli Catering Item	8	DELI	2012	7	15184.4	10	13
3338320038	O.Strawberries 16oz pkg.	2	PRODUCE	2010	6	15165.06	3143	3482
153	Grapes Red Organic	2	PRODUCE	2015	8	15161.35	2342	2378
