Date	Hour	Sales	Transactions	Items
1/30/2010	16	11682.11	216	3137
1/30/2010	17	7819.7	174	2333
1/30/2010	18	5438.86	153	1631
1/30/2010	19	4823.28	109	1443
1/30/2010	20	3816.24	85	1102
1/30/2010	21	115.05	9	35
1/31/2010	9	4253.62	78	1160
1/31/2010	10	5999.19	105	1729
1/31/2010	11	7002.6	138	1956
1/31/2010	12	7240.52	163	2007
1/31/2010	13	9539.29	162	2762
1/31/2010	14	8437.93	160	2437
1/31/2010	15	8119.38	165	2352
1/31/2010	16	7603.4	155	2337
1/31/2010	17	9133.83	173	2593
1/31/2010	18	9392.83	197	2916
1/31/2010	19	5205.74	106	1522
1/31/2010	20	3203.36	80	964
1/31/2010	21	346.34	7	114
2/1/2010	8	13.55	1	5
2/1/2010	9	942.27	38	308
2/1/2010	10	4030.77	70	1142
2/1/2010	11	4295.53	101	1290
2/1/2010	12	4414.34	107	1258
2/1/2010	13	4011.35	106	1235
2/1/2010	14	5226.08	130	1416
2/1/2010	15	4093.2	112	1231
2/1/2010	16	4802.11	113	1557
2/1/2010	17	4563	118	1547
2/1/2010	18	4922.44	123	1645
2/1/2010	19	3525.14	102	1174
2/1/2010	20	2853.99	75	923
2/1/2010	21	2347.28	67	770
2/1/2010	22	311.09	8	95
2/2/2010	8	9.48	1	4
2/2/2010	9	1370.58	42	472
2/2/2010	10	2024.28	71	626
2/2/2010	11	4822.85	108	1369
2/2/2010	12	4977.8	110	1564
2/2/2010	13	4622.24	108	1376
2/2/2010	14	5606.11	139	1613
2/2/2010	15	5455.59	138	1705
2/2/2010	16	4675.21	141	1381
2/2/2010	17	5248.83	137	1716
2/2/2010	18	5825.21	167	1913
2/2/2010	19	3534.55	124	1247
2/2/2010	20	2926.13	80	878
2/2/2010	21	2597.08	86	853
2/2/2010	22	112.42	1	35
2/3/2010	9	1376.32	55	448
2/3/2010	10	3338.91	79	967
2/3/2010	11	4294.82	86	1027
2/3/2010	12	4816.77	118	1332
2/3/2010	13	4008.96	117	1256
2/3/2010	14	4583.31	110	1316
2/3/2010	15	5653.52	134	1704
2/3/2010	16	5094.11	127	1620
2/3/2010	17	6531.43	153	1865
2/3/2010	18	4515.49	136	1442
2/3/2010	19	5045.46	132	1472
2/3/2010	20	3649.51	115	1133
2/3/2010	21	4015.85	89	1095
2/3/2010	22	156.67	3	37
2/4/2010	8	4.58	1	1
2/4/2010	9	2582.57	58	701
2/4/2010	10	3327.28	74	983
2/4/2010	11	3660.07	103	1050
2/4/2010	12	5505.06	153	1609
2/4/2010	13	5302.67	138	1481
2/4/2010	14	5063.91	106	1419
2/4/2010	15	4173.41	103	1150
2/4/2010	16	3957.98	95	1225
2/4/2010	17	5033.24	129	1498
2/4/2010	18	3853.06	95	1236
